,symbol,option_symbol,open_order_id,open_dt,close_dt,avg_open_price,avg_close_price,quantity,prod_net,closing_order_id,position_id,strategy,trading_date
0,TSLA,TSLA240524C00180000,11562440,2024-05-20 14:06:55.333,2024-05-21 14:00:35.084,1.85,2.74,2.0,178.00000000000003,11573061,TSLA-CDBFC1D-2024-05-20-14,CDBFC_1D,2024-05-20
0,TSLA,TSLA240524C00177500,11563457,2024-05-20 15:01:57.260,2024-05-21 14:15:36.811,2.66,3.65,1.0,98.99999999999997,11573513,TSLA-CDBFC1D-2024-05-20-15,CDBFC_1D,2024-05-20
0,AAPL,AAPL240524C00197500,11562434,2024-05-20 14:06:53.279,2024-05-21 14:15:38.840,0.09,0.13,10.0,40.00000000000001,11573515,AAPL-CDBFC1D-2024-05-20-14,CDBFC_1D,2024-05-20
0,AAPL,AAPL240524C00195000,11562430,2024-05-20 14:06:51.632,2024-05-21 14:15:42.019,0.22,0.44,4.0,88.0,11573517,AAPL-CDBFC1D-2024-05-20-14,CDBFC_1D,2024-05-20
0,AMZN,AMZN240524C00182500,11573137,2024-05-21 14:01:51.189,2024-05-21 14:15:45.195,1.41,1.74,1.0,33.00000000000001,11573520,AMZN-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,TSLA,TSLA240524C00180000,11563459,2024-05-20 15:01:57.539,2024-05-21 14:15:54.000,1.82,2.52,1.0,70.0,11573523,TSLA-CDBFC1D-2024-05-20-15,CDBFC_1D,2024-05-20
0,AMZN,AMZN240524C00185000,11573139,2024-05-21 14:01:51.448,2024-05-21 14:15:59.613,0.69,0.78,2.0,18.000000000000014,11573526,AMZN-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,AMZN,AMZN240524C00187500,11573141,2024-05-21 14:01:51.692,2024-05-21 14:16:03.429,0.3,0.33,6.0,18.000000000000014,11573532,AMZN-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,META,META240524C00475000,11573172,2024-05-21 14:01:57.711,2024-05-21 14:30:41.418,2.59,2.81,2.0,44.00000000000004,11573905,META-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,PYPL,PYPL240524C00067000,11573171,2024-05-21 14:01:57.281,2024-05-21 14:45:38.400,0.08,0.06,21.0,-42.00000000000001,11574452,PYPL-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,PYPL,PYPL240524C00066000,11573170,2024-05-21 14:01:56.821,2024-05-21 14:45:44.687,0.18,0.13,14.0,-69.99999999999999,11574460,PYPL-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,PYPL,PYPL240524C00065000,11573169,2024-05-21 14:01:56.585,2024-05-21 14:45:47.378,0.4,0.32,4.0,-32.00000000000001,11574464,PYPL-CDBFC1D-2024-05-21-14,CDBFC_1D,2024-05-21
0,GOOGL,GOOGL240524P00172500,11562449,2024-05-20 14:06:58.054,2024-05-21 14:00:38.506,0.28,0.4,6.0,72.0,11573065,GOOGL-CDBFP1D-2024-05-20-14,CDBFP_1D,2024-05-20
0,GOOG,GOOG240524P00177500,11563487,2024-05-20 15:02:03.810,2024-05-21 14:00:48.553,1.05,1.39,1.0,33.999999999999986,11573075,GOOG-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,GOOG,GOOG240524P00175000,11563488,2024-05-20 15:02:04.471,2024-05-21 14:00:52.958,0.44,0.58,4.0,55.999999999999986,11573076,GOOG-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,GOOGL,GOOGL240524P00175000,11562448,2024-05-20 14:06:57.817,2024-05-21 14:00:54.459,0.67,1.09,3.0,126.00000000000003,11573077,GOOGL-CDBFP1D-2024-05-20-14,CDBFP_1D,2024-05-20
0,GOOG,GOOG240524P00172500,11563494,2024-05-20 15:02:06.093,2024-05-21 14:00:55.418,0.18,0.23,9.0,45.000000000000014,11573078,GOOG-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,SPY,SPY240522P00529000,11564396,2024-05-20 16:02:04.286,2024-05-21 14:15:40.344,1.18,1.51,1.0,33.00000000000001,11573516,SPY-CDBFP1D-2024-05-20-16,CDBFP_1D,2024-05-20
0,SPY,SPY240522P00530000,11564394,2024-05-20 16:02:02.704,2024-05-21 14:15:48.149,1.51,1.97,1.0,46.0,11573521,SPY-CDBFP1D-2024-05-20-16,CDBFP_1D,2024-05-20
0,SPY,SPY240522P00529000,11562446,2024-05-20 14:06:57.319,2024-05-21 14:16:16.439,1.2,1.52,1.0,32.00000000000001,11573533,SPY-CDBFP1D-2024-05-20-14,CDBFP_1D,2024-05-20
0,SPY,SPY240522P00529000,11565439,2024-05-20 17:01:54.622,2024-05-21 14:30:38.206,1.17,1.44,2.0,54.0,11573896,SPY-CDBFP1D-2024-05-20-17,CDBFP_1D,2024-05-20
0,SPY,SPY240522P00529000,11563471,2024-05-20 15:01:59.960,2024-05-21 14:30:40.067,1.1,1.44,1.0,33.999999999999986,11573900,SPY-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,SPY,SPY240522P00530000,11563470,2024-05-20 15:01:59.722,2024-05-21 14:30:41.746,1.41,1.89,2.0,96.0,11573906,SPY-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,MSFT,MSFT240524P00420000,11573236,2024-05-21 14:02:09.552,2024-05-21 14:30:45.929,1.5,0.95,2.0,-110.00000000000001,11573919,MSFT-CDBFP1D-2024-05-21-14,CDBFP_1D,2024-05-21
0,XOM,XOM240524P00118000,11563522,2024-05-20 15:02:11.172,2024-05-21 14:30:47.310,0.42,0.43,4.0,4.0000000000000036,11573926,XOM-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,QQQ,QQQ240522P00453000,11565438,2024-05-20 17:01:54.357,2024-05-21 14:30:48.674,1.77,2.05,1.0,27.99999999999998,11573930,QQQ-CDBFP1D-2024-05-20-17,CDBFP_1D,2024-05-20
0,XOM,XOM240524P00117000,11563527,2024-05-20 15:02:12.117,2024-05-21 14:30:51.392,0.23,0.22,8.0,-8.000000000000007,11573941,XOM-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,XOM,XOM240524P00116000,11563529,2024-05-20 15:02:12.352,2024-05-21 14:31:02.474,0.13,0.11,14.0,-28.000000000000004,11573981,XOM-CDBFP1D-2024-05-20-15,CDBFP_1D,2024-05-20
0,XOM,XOM240524P00116000,11573231,2024-05-21 14:02:08.778,2024-05-21 14:31:07.807,0.12,0.11,16.0,-15.999999999999993,11573995,XOM-CDBFP1D-2024-05-21-14,CDBFP_1D,2024-05-21
0,XOM,XOM240524P00115000,11573233,2024-05-21 14:02:09.060,2024-05-21 14:31:18.277,0.07,0.06,27.0,-27.000000000000025,11574009,XOM-CDBFP1D-2024-05-21-14,CDBFP_1D,2024-05-21
0,MSFT,MSFT240524P00422500,11573234,2024-05-21 14:02:09.315,2024-05-21 14:31:24.289,2.3,1.43,2.0,-173.99999999999997,11574010,MSFT-CDBFP1D-2024-05-21-14,CDBFP_1D,2024-05-21
0,XOM,XOM240524P00117000,11573230,2024-05-21 14:02:08.506,2024-05-21 14:31:28.049,0.23,0.22,7.0,-7.000000000000006,11574011,XOM-CDBFP1D-2024-05-21-14,CDBFP_1D,2024-05-21
0,IWM,IWM240523P00206000,11573191,2024-05-21 14:02:01.468,2024-05-21 14:45:38.440,0.3,0.27,6.0,-17.999999999999982,11574454,IWM-CDBFP1D-2024-05-21-14,CDBFP_1D,2024-05-21
