,position_id,sim_open_datetime,sim_price_change,sim_pct_gain,sim_total_gain,sim_open_trade_dt,sim_close_trade_dt,sim_position_id,sim_order_num,sim_sell_info.max_value_before,sim_sell_info.max_value_before_idx,sim_sell_info.max_value_before_date,sim_sell_info.max_value_before_pct_change,sim_sell_info.max_value_after,sim_sell_info.max_value_after_idx,sim_sell_info.max_value_after_date,sim_sell_info.max_value_after_pct_change,sim_sell_info.close_price,sim_sell_info.close_datetime,sim_sell_info.quantity,sim_sell_info.contract_cost,option_symbol,sim_sell_info.sell_code,sim_sell_info.position_id,sim_sell_info.order_id,sim_buy_info.open_price,sim_buy_info.open_datetime,sim_buy_info.quantity,sim_buy_info.contract_cost,sim_buy_info.option_symbol,sim_buy_info.position_id,sim_buy_info.contract_type,sim_buy_info.order_id
0,TSLA-CDBFC1D-2024-05-20-14,2024-05-20 14:00,0.09000000000000008,6.250000000000005,18.000000000000014,2024-05-20 14:00,2024-05-21 09:30,TSLA-CDBFC1D-2024-05-20-14,0,1.54,7,2024-05-20 15:45,0.0694444444444445,7.95,33,2024-05-21 15:45,4.520833333333333,1.53,2024-05-21 09:30:00-04:00,2,153.0,TSLA240524C00180000,"Failed momentum gate, sell.",TSLA-CDBFC1D-2024-05-20-14,0_05+20,1.44,2024-05-20 14:56:00-04:00,2,144.0,O:TSLA240524C00180000,TSLA-CDBFC1D-2024-05-20-14,calls,0_05+20
1,TSLA-CDBFC1D-2024-05-20-15,2024-05-20 15:00,0.23999999999999977,11.214953271028026,23.99999999999998,2024-05-20 15:00,2024-05-21 09:30,TSLA-CDBFC1D-2024-05-20-15,0,2.32,3,2024-05-20 15:45,0.08411214953271014,10.0,29,2024-05-21 15:45,3.672897196261682,2.38,2024-05-21 09:30:00-04:00,1,238.0,TSLA240524C00177500,"Failed momentum gate, sell.",TSLA-CDBFC1D-2024-05-20-15,0_05+20,2.14,2024-05-20 15:56:00-04:00,1,214.0,O:TSLA240524C00177500,TSLA-CDBFC1D-2024-05-20-15,calls,0_05+20
2,AAPL-CDBFC1D-2024-05-20-14,2024-05-20 14:00,-0.03,-27.27272727272727,-30.0,2024-05-20 14:00,2024-05-21 09:30,AAPL-CDBFC1D-2024-05-20-14,2,0.11,0,2024-05-20 14:00,0.0,0.16,11,2024-05-21 10:15,0.4545454545454546,0.08,2024-05-21 09:30:00-04:00,10,8.0,AAPL240524C00197500,"Failed momentum gate, sell.",AAPL-CDBFC1D-2024-05-20-14,2_05+20,0.11,2024-05-20 14:56:00-04:00,10,11.0,O:AAPL240524C00197500,AAPL-CDBFC1D-2024-05-20-14,calls,2_05+20
3,AAPL-CDBFC1D-2024-05-20-14,2024-05-20 14:00,-0.09999999999999998,-28.571428571428566,-39.99999999999999,2024-05-20 14:00,2024-05-21 09:30,AAPL-CDBFC1D-2024-05-20-14,1,0.35,0,2024-05-20 14:00,0.0,0.51,10,2024-05-21 10:00,0.45714285714285724,0.25,2024-05-21 09:30:00-04:00,4,25.0,AAPL240524C00195000,"Failed momentum gate, sell.",AAPL-CDBFC1D-2024-05-20-14,1_05+20,0.35,2024-05-20 14:56:00-04:00,4,35.0,O:AAPL240524C00195000,AAPL-CDBFC1D-2024-05-20-14,calls,1_05+20
4,AMZN-CDBFC1D-2024-05-21-14,2024-05-21 14:00,0.8300000000000001,47.97687861271677,83.0,2024-05-21 14:00,2024-05-22 09:30,AMZN-CDBFC1D-2024-05-21-14,0,2.33,7,2024-05-21 15:45,0.34682080924855496,3.5,8,2024-05-22 09:30,1.023121387283237,2.56,2024-05-22 09:30:00-04:00,1,256.0,AMZN240524C00182500,"Failed momentum gate, sell.",AMZN-CDBFC1D-2024-05-21-14,0_05+21,1.73,2024-05-21 14:56:00-04:00,1,173.0,O:AMZN240524C00182500,AMZN-CDBFC1D-2024-05-21-14,calls,0_05+21
5,TSLA-CDBFC1D-2024-05-20-15,2024-05-20 15:00,0.1200000000000001,8.51063829787235,12.00000000000001,2024-05-20 15:00,2024-05-21 09:30,TSLA-CDBFC1D-2024-05-20-15,1,1.54,3,2024-05-20 15:45,0.09219858156028378,7.95,29,2024-05-21 15:45,4.638297872340426,1.53,2024-05-21 09:30:00-04:00,1,153.0,TSLA240524C00180000,"Failed momentum gate, sell.",TSLA-CDBFC1D-2024-05-20-15,1_05+20,1.41,2024-05-20 15:56:00-04:00,1,141.0,O:TSLA240524C00180000,TSLA-CDBFC1D-2024-05-20-15,calls,1_05+20
6,AMZN-CDBFC1D-2024-05-21-14,2024-05-21 14:00,0.43000000000000005,51.80722891566266,86.00000000000001,2024-05-21 14:00,2024-05-22 09:30,AMZN-CDBFC1D-2024-05-21-14,1,1.15,7,2024-05-21 15:45,0.38554216867469876,1.9,8,2024-05-22 09:30,1.289156626506024,1.26,2024-05-22 09:30:00-04:00,2,126.0,AMZN240524C00185000,"Failed momentum gate, sell.",AMZN-CDBFC1D-2024-05-21-14,1_05+21,0.83,2024-05-21 14:56:00-04:00,2,83.0,O:AMZN240524C00185000,AMZN-CDBFC1D-2024-05-21-14,calls,1_05+21
7,AMZN-CDBFC1D-2024-05-21-14,2024-05-21 14:00,0.2,62.5,120.0,2024-05-21 14:00,2024-05-22 09:30,AMZN-CDBFC1D-2024-05-21-14,2,0.49,7,2024-05-21 15:45,0.5312499999999999,0.87,8,2024-05-22 09:30,1.71875,0.52,2024-05-22 09:30:00-04:00,6,52.0,AMZN240524C00187500,"Failed momentum gate, sell.",AMZN-CDBFC1D-2024-05-21-14,2_05+21,0.32,2024-05-21 14:56:00-04:00,6,32.0,O:AMZN240524C00187500,AMZN-CDBFC1D-2024-05-21-14,calls,2_05+21
8,META-CDBFC1D-2024-05-21-14,2024-05-21 14:00,0.6100000000000001,35.05747126436782,122.00000000000001,2024-05-21 14:00,2024-05-22 09:30,META-CDBFC1D-2024-05-21-14,0,1.98,6,2024-05-21 15:30,0.13793103448275862,4.3,15,2024-05-22 11:15,1.4712643678160917,2.35,2024-05-22 09:30:00-04:00,2,235.0,META240524C00475000,"Failed momentum gate, sell.",META-CDBFC1D-2024-05-21-14,0_05+21,1.74,2024-05-21 14:56:00-04:00,2,174.0,O:META240524C00475000,META-CDBFC1D-2024-05-21-14,calls,0_05+21
9,PYPL-CDBFC1D-2024-05-21-14,2024-05-21 14:00,-0.009999999999999995,-16.66666666666666,-20.99999999999999,2024-05-21 14:00,2024-05-22 09:30,PYPL-CDBFC1D-2024-05-21-14,2,0.07,1,2024-05-21 14:15,0.16666666666666682,0.05,7,2024-05-22 09:30,-0.1666666666666666,0.05,2024-05-22 09:30:00-04:00,21,5.0,PYPL240524C00067000,"Failed momentum gate, sell.",PYPL-CDBFC1D-2024-05-21-14,2_05+21,0.06,2024-05-21 14:56:00-04:00,21,6.0,O:PYPL240524C00067000,PYPL-CDBFC1D-2024-05-21-14,calls,2_05+21
